split,cut,stratum,n_basins,skill_pct,dm_stat,p,n_rows
contamination,0.1,contaminated,197,-0.5021740519950635,2.564477050231678,0.012133750241156914,16548
contamination,0.1,clean,31,-0.605439830160015,1.7220607005774344,0.0887832885223404,2604
contamination,0.2,contaminated,155,-0.38389156537304014,1.9182560633965005,0.05851695354339327,13020
contamination,0.2,clean,73,-0.7746636803309004,2.7499358134588947,0.007314385941942408,6132
contamination,0.3,contaminated,87,-0.5554229407541911,2.310344386162669,0.02335140316139911,7308
contamination,0.3,clean,141,-0.49453179240701584,2.1142031662604217,0.0374987074547318,11844
contamination,0.4,contaminated,44,0.38345512857810293,-1.425768405552373,0.15768540018802246,3696
contamination,0.4,clean,184,-0.7677347816511748,3.622014052613567,0.0005021443724925004,15456
contamination,0.5,contaminated,29,0.443659464846613,-1.3207178809602904,0.19022548038908457,2436
contamination,0.5,clean,199,-0.6924085005974634,3.5162541342243543,0.0007122344716753718,16716
contamination_tercile,,tercile_low,72,-0.7356584398420463,2.6342621787171288,0.010057342624000262,6048
contamination_tercile,,tercile_mid,78,-0.1911728957195935,0.6697715894749443,0.5048624806659773,6552
contamination_tercile,,tercile_high,78,-0.606803752752616,2.278457003912532,0.025268459473626246,6552
n_eff_tiles,2.0,n_eff_tiles<2,22,0.29797068831209916,-0.6745399388073927,0.5018426583537131,1848
n_eff_tiles,2.0,n_eff_tiles>=2,206,-0.6232340419752624,3.0926990056863883,0.0027015890380518532,17304
